carID,price
89856,13092.393291692173
106581,24040.47244766603
80886,13868.737417366945
100174,16676.85921595234
81376,25340.609785908313
85391,10364.637707578024
82175,14627.707571994812
95250,14012.307262755154
85071,5262.831438558943
96210,16749.665724867726
80317,27545.121249359963
92731,20653.836080841753
107704,10801.369380952383
98302,7507.6976834794805
107055,22442.46146464647
94621,45759.92511111111
91709,17177.126412698417
98193,48900.61159218164
76189,17031.476470678866
86871,13077.219746031751
102917,6848.673499118166
90923,29414.409400991175
101603,11066.912829088224
94196,20708.45170899471
85174,15854.90928101258
103370,12336.21650628208
107877,14629.344433862434
79567,14253.850305071623
90091,9304.353187969924
76169,13129.752222222225
98708,11303.566471544716
107347,21462.75686202686
89583,9200.240666666667
101591,11500.56311111111
92160,15476.140761904762
99676,11374.903423616744
85354,18097.84235566523
81900,11939.968031746033
80345,22016.920107142847
78509,31264.95385287278
100872,9454.680238095238
95087,27705.59819656665
86027,15787.336481481483
89135,14333.246687830686
80557,26942.34972955486
108092,20196.79244444444
102672,16650.600555555557
83022,8139.040128372717
78398,20475.20390600922
95889,29114.702480518547
81117,47603.750366522356
93730,18788.20222222222
101380,9772.438126984127
81772,26957.690477933174
85304,11090.74180163219
86107,6022.321154036007
88696,16978.708636438627
104350,19281.60615161818
87331,13063.686112688187
85206,15992.387357383357
107445,25292.687031746034
106539,27900.833172711795
98712,21826.781995769717
96875,13877.365074074074
108464,22741.910539682536
99890,7924.339877411077
87771,17058.50901587302
79442,22251.8310270775
84170,10747.687822107744
103045,15474.385174603176
101544,3782.078507936508
77350,10816.910382395383
89225,14444.349723610461
79565,56900.147111111124
82849,10395.63408652366
94360,21148.470042995155
103040,6593.501666666666
105101,45822.33723809524
97077,11614.908244226008
98674,13295.725130402932
93447,28981.629664578108
84951,22124.594825396824
91953,10568.610190476187
102101,8451.465387702972
92604,31065.870676518873
89010,9776.602058201055
102729,9849.151632869352
88024,10468.034063492065
104367,12521.873301587295
101230,11167.31394682507
82524,22848.27377777778
95279,47872.61288888889
106098,12195.859053531867
89749,8656.381166822235
101277,6511.538246724953
108016,27058.107522670332
81259,22407.06092063492
97434,20566.712888888887
105289,26347.095522646487
103379,9555.371434676434
78317,30886.62752380953
104166,22264.91462426952
106660,32848.63385225277
107490,11070.4813015873
90684,13815.937680376768
90032,6799.2043584229405
79481,18916.677899804527
102524,9233.511771094401
100778,17839.24861904762
77810,15196.085031746034
98979,12996.421080179081
76558,18519.90133333334
